condition,item,test,layer,llh_left,llh_right,log_odds,test_passed
joins,1,test_1,1,-12.77296257019043,-12.641081809997559,-0.1318807601928711,False
joins,1,test_1,2,-12.019033432006836,-11.941646575927734,-0.07738685607910156,False
joins,1,test_1,3,-11.011861801147461,-11.048951148986816,0.03708934783935547,True
joins,1,test_1,4,-10.86412239074707,-10.812997817993164,-0.05112457275390625,False
joins,1,test_1,5,-11.136533737182617,-11.006208419799805,-0.1303253173828125,False
joins,1,test_1,6,-11.60167121887207,-11.517382621765137,-0.0842885971069336,False
joins,1,test_1,7,-11.556617736816406,-11.672974586486816,0.11635684967041016,True
joins,1,test_1,8,-12.510128021240234,-12.792736053466797,0.2826080322265625,True
joins,1,test_1,9,-12.529701232910156,-12.65192699432373,0.12222576141357422,True
joins,1,test_1,10,-11.76339340209961,-10.701189041137695,-1.062204360961914,False
joins,1,test_1,11,-9.225141525268555,-8.130533218383789,-1.0946083068847656,False
joins,1,test_1,12,-6.713129997253418,-6.546916961669922,-0.1662130355834961,False
joins,1,test_2,0,-57.648223876953125,-57.648223876953125,0.0,False
joins,1,test_2,1,-12.641081809997559,-12.797540664672852,0.15645885467529297,True
joins,1,test_2,2,-11.941646575927734,-12.01030158996582,0.06865501403808594,True
joins,1,test_2,3,-11.048951148986816,-10.968897819519043,-0.08005332946777344,False
joins,1,test_2,4,-10.812997817993164,-10.840404510498047,0.027406692504882812,True
joins,1,test_2,5,-11.006208419799805,-11.141437530517578,0.13522911071777344,True
joins,1,test_2,6,-11.517382621765137,-11.528971672058105,0.01158905029296875,True
joins,1,test_2,7,-11.672974586486816,-11.479387283325195,-0.1935873031616211,False
joins,1,test_2,8,-12.792736053466797,-12.532804489135742,-0.2599315643310547,False
joins,1,test_2,9,-12.65192699432373,-12.389073371887207,-0.26285362243652344,False
joins,1,test_2,10,-10.701189041137695,-11.46222972869873,0.7610406875610352,True
joins,1,test_2,11,-8.130533218383789,-8.930120468139648,0.7995872497558594,True
joins,1,test_2,12,-6.546916961669922,-6.542510032653809,-0.004406929016113281,False
joins,1,test_3,0,-57.648223876953125,-57.648223876953125,0.0,False
joins,1,test_3,1,-12.77296257019043,-12.797540664672852,0.024578094482421875,True
joins,1,test_3,2,-12.019033432006836,-12.01030158996582,-0.008731842041015625,False
joins,1,test_3,3,-11.011861801147461,-10.968897819519043,-0.04296398162841797,False
joins,1,test_3,4,-10.86412239074707,-10.840404510498047,-0.023717880249023438,False
joins,1,test_3,5,-11.136533737182617,-11.141437530517578,0.0049037933349609375,True
joins,1,test_3,6,-11.60167121887207,-11.528971672058105,-0.07269954681396484,False
joins,1,test_3,7,-11.556617736816406,-11.479387283325195,-0.07723045349121094,False
joins,1,test_3,8,-12.510128021240234,-12.532804489135742,0.022676467895507812,True
joins,1,test_3,9,-12.529701232910156,-12.389073371887207,-0.14062786102294922,False
joins,1,test_3,10,-11.76339340209961,-11.46222972869873,-0.3011636734008789,False
joins,1,test_3,11,-9.225141525268555,-8.930120468139648,-0.29502105712890625,False
joins,1,test_3,12,-6.713129997253418,-6.542510032653809,-0.17061996459960938,False
joins,2,test_1,0,-53.805973052978516,-53.90888977050781,0.10291671752929688,True
joins,2,test_1,1,-8.694826126098633,-8.749164581298828,0.05433845520019531,True
joins,2,test_1,2,-7.85453462600708,-7.886215686798096,0.031681060791015625,True
joins,2,test_1,3,-8.022603988647461,-8.179341316223145,0.1567373275756836,True
joins,2,test_1,4,-7.834686756134033,-7.804717540740967,-0.029969215393066406,False
joins,2,test_1,5,-7.555962085723877,-7.550938606262207,-0.005023479461669922,False
joins,2,test_1,6,-7.560766696929932,-7.578935146331787,0.01816844940185547,True
joins,2,test_1,7,-7.09367561340332,-7.204418659210205,0.11074304580688477,True
joins,2,test_1,8,-7.117162704467773,-7.277005195617676,0.15984249114990234,True
joins,2,test_1,9,-6.677440166473389,-6.77647066116333,0.0990304946899414,True
joins,2,test_1,10,-6.0041823387146,-6.161691665649414,0.15750932693481445,True
joins,2,test_1,11,-5.366096019744873,-5.14679479598999,-0.2193012237548828,False
joins,2,test_1,12,-6.721752643585205,-6.7659382820129395,0.044185638427734375,True
joins,2,test_2,0,-53.90888977050781,-53.6239128112793,-0.2849769592285156,False
joins,2,test_2,1,-8.749164581298828,-8.692621231079102,-0.05654335021972656,False
joins,2,test_2,2,-7.886215686798096,-7.862415790557861,-0.023799896240234375,False
joins,2,test_2,3,-8.179341316223145,-8.047554969787598,-0.13178634643554688,False
joins,2,test_2,4,-7.804717540740967,-7.856356620788574,0.05163908004760742,True
joins,2,test_2,5,-7.550938606262207,-7.532379627227783,-0.018558979034423828,False
joins,2,test_2,6,-7.578935146331787,-7.558972358703613,-0.019962787628173828,False
joins,2,test_2,7,-7.204418659210205,-7.066443920135498,-0.13797473907470703,False
joins,2,test_2,8,-7.277005195617676,-7.074375629425049,-0.20262956619262695,False
joins,2,test_2,9,-6.77647066116333,-6.634150505065918,-0.1423201560974121,False
joins,2,test_2,10,-6.161691665649414,-5.904191493988037,-0.25750017166137695,False
joins,2,test_2,11,-5.14679479598999,-5.143808364868164,-0.002986431121826172,False
joins,2,test_2,12,-6.7659382820129395,-6.70297384262085,-0.06296443939208984,False
joins,2,test_3,0,-53.805973052978516,-53.6239128112793,-0.18206024169921875,False
joins,2,test_3,1,-8.694826126098633,-8.692621231079102,-0.00220489501953125,False
joins,2,test_3,2,-7.85453462600708,-7.862415790557861,0.00788116455078125,True
joins,2,test_3,3,-8.022603988647461,-8.047554969787598,0.02495098114013672,True
joins,2,test_3,4,-7.834686756134033,-7.856356620788574,0.021669864654541016,True
joins,2,test_3,5,-7.555962085723877,-7.532379627227783,-0.02358245849609375,False
joins,2,test_3,6,-7.560766696929932,-7.558972358703613,-0.0017943382263183594,False
joins,2,test_3,7,-7.09367561340332,-7.066443920135498,-0.027231693267822266,False
joins,2,test_3,8,-7.117162704467773,-7.074375629425049,-0.04278707504272461,False
joins,2,test_3,9,-6.677440166473389,-6.634150505065918,-0.0432896614074707,False
joins,2,test_3,10,-6.0041823387146,-5.904191493988037,-0.0999908447265625,False
joins,2,test_3,11,-5.366096019744873,-5.143808364868164,-0.22228765487670898,False
joins,2,test_3,12,-6.721752643585205,-6.70297384262085,-0.01877880096435547,False
joins,4,test_1,0,-48.09004211425781,-48.23128890991211,0.14124679565429688,True
joins,4,test_1,1,-7.7953362464904785,-7.75338077545166,-0.04195547103881836,False
joins,4,test_1,2,-7.456961154937744,-7.443029880523682,-0.0139312744140625,False
joins,4,test_1,3,-7.517157554626465,-7.550019264221191,0.03286170959472656,True
joins,4,test_1,4,-7.436280250549316,-7.4829421043396,0.0466618537902832,True
